rec_id,from_party,to_party,timestamp,kind
REC-00420,Vindhya Solar,Blue Delta Commodities,2026-05-25T03:29:00.295785,transfer
REC-00422,Registry,Helios Trading Energy,2026-05-18T10:00:00,issue
REC-00422,Helios Trading Energy,Nimbus Carbon Traders,2026-05-29T11:40:42.471414,transfer
REC-00423,Registry,Thar Photovoltaic,2026-05-18T10:00:00,issue
REC-00423,Thar Photovoltaic,Evergreen Corp Sustainability,2026-05-26T09:18:41.646823,transfer
REC-00424,Registry,Coromandel Clean Energy,2026-05-18T10:00:00,issue
REC-00424,Coromandel Clean Energy,Blue Delta Commodities,2026-05-18T14:05:35.966867,transfer
REC-00424,Blue Delta Commodities,Nimbus Carbon Traders,2026-05-18T20:57:35.043845,transfer
REC-00425,Registry,Suryodaya Energy,2026-06-02T10:00:00,issue
REC-00425,Suryodaya Energy,Kestrel Metals Ltd,2026-06-20T00:12:27.124653,transfer
REC-00426,Registry,Marwar Renewables,2026-06-02T10:00:00,issue
REC-00426,Marwar Renewables,Kestrel Metals Ltd,2026-06-11T05:41:42.986095,transfer
REC-00426,Kestrel Metals Ltd,Evergreen Corp Sustainability,2026-06-26T06:56:36.280743,transfer
REC-00427,Registry,Deccan Power Co,2026-06-02T10:00:00,issue
REC-00427,Deccan Power Co,Nimbus Carbon Traders,2026-06-09T02:16:26.268112,transfer
REC-00428,Registry,Karnataka Green Grid,2026-06-02T10:00:00,issue
REC-00428,Karnataka Green Grid,Nimbus Carbon Traders,2026-06-20T13:02:25.571731,transfer
REC-00429,Registry,Vindhya Solar,2026-06-02T10:00:00,issue
REC-00430,Registry,Helios Trading Energy,2026-06-02T10:00:00,issue
REC-00430,Helios Trading Energy,Nimbus Carbon Traders,2026-06-07T23:22:01.518505,transfer
REC-00431,Registry,Thar Photovoltaic,2026-06-02T10:00:00,issue
REC-00431,Thar Photovoltaic,Greenleaf Offsets,2026-06-19T01:45:48.284086,transfer
REC-00432,Registry,Coromandel Clean Energy,2026-06-02T10:00:00,issue
REC-00432,Coromandel Clean Energy,Nimbus Carbon Traders,2026-06-13T16:12:18.258990,transfer
REC-00433,Registry,Suryodaya Energy,2026-06-17T10:00:00,issue
REC-00433,Suryodaya Energy,Kestrel Metals Ltd,2026-07-04T20:20:49.843298,transfer
REC-00433,Kestrel Metals Ltd,Blue Delta Commodities,2026-07-17T18:11:02.538025,transfer
REC-00434,Registry,Marwar Renewables,2026-06-17T10:00:00,issue
REC-00434,Marwar Renewables,Evergreen Corp Sustainability,2026-06-29T01:19:14.054302,transfer
REC-00435,Registry,Deccan Power Co,2026-06-17T10:00:00,issue
REC-00435,Deccan Power Co,Kestrel Metals Ltd,2026-07-03T11:53:59.483209,transfer
REC-00436,Registry,Karnataka Green Grid,2026-06-17T10:00:00,issue
REC-00436,Karnataka Green Grid,Kestrel Metals Ltd,2026-06-23T05:32:53.582578,transfer
REC-00436,Kestrel Metals Ltd,Greenleaf Offsets,2026-07-04T15:45:15.693226,transfer
REC-00437,Registry,Vindhya Solar,2026-06-17T10:00:00,issue
REC-00437,Vindhya Solar,Evergreen Corp Sustainability,2026-07-03T20:17:31.321761,transfer
REC-00438,Registry,Helios Trading Energy,2026-06-17T10:00:00,issue
REC-00439,Registry,Thar Photovoltaic,2026-06-17T10:00:00,issue
REC-00439,Thar Photovoltaic,Greenleaf Offsets,2026-06-30T14:42:18.914974,transfer
REC-00440,Registry,Coromandel Clean Energy,2026-06-17T10:00:00,issue
REC-00440,Coromandel Clean Energy,Kestrel Metals Ltd,2026-06-26T07:41:58.795589,transfer
REC-00441,Registry,Suryodaya Energy,2026-07-02T10:00:00,issue
REC-00442,Registry,Marwar Renewables,2026-07-02T10:00:00,issue
REC-00442,Marwar Renewables,Blue Delta Commodities,2026-07-12T15:00:08.812349,transfer
REC-00443,Registry,Deccan Power Co,2026-07-02T10:00:00,issue
REC-00444,Registry,Karnataka Green Grid,2026-07-02T10:00:00,issue
REC-00444,Karnataka Green Grid,Blue Delta Commodities,2026-07-09T11:23:18.781045,transfer
REC-00445,Registry,Vindhya Solar,2026-07-02T10:00:00,issue
REC-00445,Vindhya Solar,Evergreen Corp Sustainability,2026-07-10T23:38:02.935757,transfer
REC-00445,Evergreen Corp Sustainability,Greenleaf Offsets,2026-07-16T01:45:03.196323,transfer
REC-00446,Registry,Helios Trading Energy,2026-07-02T10:00:00,issue
REC-00446,Helios Trading Energy,Greenleaf Offsets,2026-07-21T10:54:13.188624,transfer
REC-00446,Greenleaf Offsets,Evergreen Corp Sustainability,2026-08-05T22:12:05.856038,transfer
REC-00447,Registry,Thar Photovoltaic,2026-07-02T10:00:00,issue
REC-00447,Thar Photovoltaic,Greenleaf Offsets,2026-07-16T05:31:09.622925,transfer
REC-00448,Registry,Coromandel Clean Energy,2026-07-02T10:00:00,issue
REC-00448,Coromandel Clean Energy,Blue Delta Commodities,2026-07-16T20:35:04.570776,transfer
REC-00421,Registry,Helios Trading Energy,2026-06-08T16:30:00,issue
REC-00421,Helios Trading Energy,Nimbus Carbon Traders,2026-06-08T18:30:00,transfer
REC-00421,Nimbus Carbon Traders,Greenleaf Offsets,2026-06-08T21:30:00,transfer
REC-00421,Greenleaf Offsets,Helios Trading Energy,2026-06-09T02:30:00,transfer
